id	publishDate	category	sourceName	url	title
causal-forcing-video	2026-02-04	Visual Generation	Causal Forcing Project	https://causal-forcing.github.io/	Causal Forcing: Next-Token Prediction Meets Full-Sequence Diffusion
depthvlm	2026-05-15	Multimodal Model	DepthVLM Project	https://depthvlm.github.io/	DepthVLM: Dense Metric Depth Estimation in VLMs
procvlm	2026-05-09	World Model	ProcVLM Project	https://procvlm.github.io/	ProcVLM: Procedure-Grounded Progress Rewards
gazevla	2026-04-24	World Model	GazeVLA Project	https://gazevla.github.io/	GazeVLA: Learning Human Intention for Robotic Manipulation
univigu	2026-04-09	Visual Generation	Uni-ViGU Project	https://fr0zencrane.github.io/uni-vigu-page/	Uni-ViGU: Unified Video Generation and Understanding
dynaedit	2026-03-18	Visual Generation	DynaEdit Project	https://dynaedit.github.io/	DynaEdit: Versatile Video Editing Without Training
kiwi-edit	2026-03-02	Visual Generation	Kiwi-Edit Project	https://showlab.github.io/Kiwi-Edit/	Kiwi-Edit: Instruction and Reference Video Editing
mos-vla	2025-10-18	World Model	MoS-VLA Project	https://mos-vla.github.io/	MoS-VLA: One-Shot Skill Adaptation for VLA Policies
thinkact-vla	2025-07-22	World Model	ThinkAct Project	https://jasper0314-huang.github.io/thinkact-vla/	ThinkAct: Reinforced Visual Latent Planning
egovla	2025-07-16	World Model	EgoVLA Project	https://rchalyang.github.io/EgoVLA	EgoVLA: Learning VLA Models from Egocentric Human Videos
bridgevla	2025-06-09	World Model	BridgeVLA Project	https://bridgevla.github.io/	BridgeVLA: Input-Output Alignment for 3D Manipulation
pyramid-flow	2024-10-08	Visual Generation	Pyramid Flow Project	https://pyramid-flow.github.io/	Pyramid Flow: Efficient Video Generative Modeling
covip-vlm	2026-02-03	Multimodal Model	CoViP Project	https://oyt9306.github.io/covip.github.io/	CoViP: Contextualized Visual Personalization in VLMs
vid-llm	2025-09-29	Multimodal Model	Vid-LLM Project	https://chenhaijier.github.io/Vid-LLM/	Vid-LLM: Compact Video-based 3D Multimodal LLM
dreamvla	2025-07-06	World Model	DreamVLA Project	https://zhangwenyao1.github.io/DreamVLA/	DreamVLA: A VLA Model Dreamed with World Knowledge
chatvla	2025-02-20	World Model	ChatVLA Project	https://chatvla.github.io/	ChatVLA: Unified Multimodal Understanding and Robot Control
longvie-2	2025-12-15	Visual Generation	LongVie 2 Project	https://vchitect.github.io/LongVie2-project/	LongVie 2: Multimodal Controllable Ultra-Long Video World Model
videovla	2025-12-07	World Model	VideoVLA Project	https://videovla-nips2025.github.io/	VideoVLA: Video Generators Can Be Robot Manipulators
